a 安 爱 阿 啊 按 案 暗 岸 奥 唉 碍 矮 哀 昂 傲 挨 袄 埃 呵 哎 澳 艾 氨 俺 癌 凹 鞍 懊 熬 隘
a1 阿 啊 呵 腌 吖 锕 錒
a2 嗄 呵 啊
a3 呵 啊
a4 呵 啊
a5 啊 阿
aba 阿爸
adou 阿斗
aerbeisi 阿尔卑斯
aerfalizi 阿尔法粒子
aerfashexian 阿尔法射线
afei 阿飞
agong 阿公
aha 啊哈
ahaha 啊哈哈
ahong 阿訇
ai 爱 埃 艾 哀 挨 哎 碍 唉 矮 癌 暧 愛 蔼 隘 霭 嗳 锿 捱 皑 毐 诶 礙 嫒 曖 欸 噯 靄 瑷 騃 藹 叆 瞹 譪 鱫 娭 銰 鎄 㱯 䠹 䶣 凒 厓 呆 啀 嘊 娾 嵦 敱 敳 皚 㑸 㗨 㢊 䑂 䨠 佁 昹 躷 馤 㕌 㗒 㘷 㝶 㤅 㿄 䀳 䅬 䔽 䝽 䬵 伌 僾 呝 嗌 堨 塧 嬡 懓 懝 濭 璦 皧 砹 硋 薆 賹 鑀 靉 鴱
ai1 埃 哀 挨 哎 唉 锿 捱 诶 欸 娭 銰 鎄
ai2 癌 挨 捱 皑 騃 㱯 䠹 䶣 凒 厓 呆 啀 嘊 娾 嵦 敱 敳 皚
ai3 矮 蔼 霭 嗳 毐 噯 欸 靄 藹 㑸 㗨 㢊 䑂 䨠 佁 昹 躷 馤
ai4 爱 艾 碍 唉 暧 愛 隘 嗳 礙 嫒 曖 噯 瑷 叆 瞹 譪 鱫 㕌 㗒 㘷 㝶 㤅 㿄 䀳 䅬 䔽 䝽 䬵 伌 僾 呝 嗌 堨 塧 嬡 懓 懝 濭 璦 皧 砹 硋 薆 賹 鑀 靉 鴱
aia 爱啊
aiai 爱爱
aiai 蔼蔼
aiaifumu 哀哀父母
aibian 挨边
aibian 癌变
aibingbisheng 哀兵必胜
aiboerqingbuzhuan 爱博而情不专
aibuaiwo 爱不爱我
aiburenshi 爱不忍释
